,video_id,video_title,upload_date,view_count,like_count,dislike_count,comment_count
0,kLkmGUTwG-s,Comment | Java for Beginners | Bangla Tutorial | #5,2021-01-05,67,4,0,0
1,baGEPw5XMog,How To Run A Java Program | Java for Beginners | Bangla Tutorial | #4,2020-10-18,155,6,0,1
2,47y_BeKHIPs,C++ vs Java | Java for Beginners | Bangla Tutorial | #3,2020-09-28,123,2,0,1
3,sKUZAeyF_QU,Overview of Java | Java for Beginners | Bangla Tutorial | #2,2020-09-03,100,7,0,2
4,hl4eq1ToX3U,How To Add A Calendar To A Website | Bangla Web Development Tricks | CS Bangla,2020-08-31,70,10,0,4
5,g_Gei7Ss2Ow,Top 10 Programming Languages in 2020 | CS Bangla,2020-08-27,296,16,0,5
6,3c0h8hvDsEw,Introduction | Java for Beginners | Bangla Tutorial | #1,2020-08-24,249,12,0,10
7,Koz-r8a1lXQ,C++ Class and Object | Bangla Tutorial | Part-18,2020-08-17,613,21,0,3
8,zt6G2Cqxrzs,C++ Function Overloading | Bangla Tutorial | Part-17,2020-07-26,79,6,0,0
9,7eA70JjiZ9c,Basics of Object-Oriented Programming | Bangla Tutorial | CS Bangla,2020-07-18,9042,276,0,18
10,Q6dGxaRJzKQ,Fix accidentally cursor change in CodeBlocks | CS Bangla,2020-07-16,487,28,0,4
11,gbvlDcR7qc4,Hard Coding  User Input in Python | Python for Beginners | Bangla Tutorial | #8,2020-07-15,99,11,0,1
12,vKilOL3kJCY,C++ Functions | Parameters  | Return Type | Bangla Tutorial | Part-16,2020-07-13,94,7,0,0
13,32Z9cPBjbac,2D Array | Nested Loop  | C++ for Beginners | Bangla Tutorial | Part-15,2020-07-10,54,5,0,0
14,kDgfh_ESYyw,Variables in Python | Python for Beginners | Bangla Tutorial | #7,2020-07-07,70,7,0,0
15,juFDDUm79Tg,C++ Array Problem | Find index | Find max value from array |  C++ for Beginners  | Part-14,2020-07-05,1276,18,0,3
16,A1RBvgtctts,C++ Array | Bangla Tutorial | Part-13,2020-07-03,73,7,0,0
17,nFEwZtfSfuM,AI vs Machine Learning vs Deep Learning | Bangla Tutorial | CS Bangla,2020-07-01,8336,237,0,12
18,8R-EerE_CNM,Loop problem solve | Prime or not | Continue | Break | Infinite Loop | Bangla Tutorial | Part-12,2020-06-27,70,8,0,0
19,n6JlRpYO0oI,Create A Website Using HTML  CSS | Bangla Tutorial | CS Bangla,2020-06-25,17596,428,0,24
20,TNnpzXtHNtM,LOOP | While loop | Do While loop | For loop | Bangla Tutorial | Part-11,2020-06-18,80,5,0,0
21,7m4Sv6OwUAY,Data Types  Type Conversion Functions | Python for Beginners | Bangla Tutorial | #6,2020-06-17,94,7,0,0
22,X8kvctYAXVg,Switch Case | Calculator | Bangla Tutorial | Part-10,2020-06-16,39,6,0,0
23,MWKPl_15Y28,Become a Programmer without a Computer | CS Bangla,2020-06-15,170,20,0,6
24,9-ctzwrufUw,Conditions Problem |  | Multi-line Comments | Bangla Tutorial | Part-9,2020-06-13,68,7,0,0
25,u5F9Bm1B5xY,Function Calls in Python | Python for Beginners | Bangla Tutorial | #5,2020-06-11,63,7,0,1
26,6gL_ythd-pU,Conditions | Simple  Condition Problem | C++ for Beginners | Bangla Tutorial | Part-8,2020-06-11,71,7,0,0
27,EA0m1Pc4sts,Operator | Simple Calculator | C++ for Beginners | Bangla Tutorial | Part-7,2020-06-10,80,7,0,2
28,S7l6OukTOqs,"Values, Operators  Operands in Python | Bangla Tutorail | #4",2020-06-09,204,10,0,1
29,E2NzK_31rgE,Data Type | Single line Comments | C++ for Beginners | Bangla Tutorial | Part-6,2020-06-09,81,9,0,6
30,UHbwn7FVXaI,Variables | User Input | C++ for Beginners | Bangla Tutorial | Part-5,2020-06-08,102,10,0,6
31,yyfdwA6DLWE,Top 10 Visual Studio Code Extension for Python | Bangla Tutorial | CS Bangla,2020-06-07,521,21,0,6
32,fKREKuKeVsA,C++ Basics | New Line  Line Gap | C++ for Beginners | Bangla Tutorial | Part-4,2020-06-06,114,9,0,2
33,fXNLwoLMKSQ,CS Bangla || Programming tutorials in Bangla,2020-06-06,71,2,0,0
34,xItdAY91CiE,How to Install  Setup Visual Studio Code for Python Programming | Bangla Tutorial | #3,2020-06-06,2132,29,0,8
35,G3oH2-XtU5w,First Code | Hello World | C++ for Beginners | Bangla Tutorial | Part-3,2020-06-05,175,8,0,0
36,hU7c7u2PjBA,How to Download  Install Python 3.8.3 on Windows 10 | Bangla Tutorial | #2,2020-06-04,904,14,0,0
37,WVTsBd_5liM,Codeblocks Installation | IDE | C++ for Beginners | Bangla Tutorial | Part-2,2020-06-04,220,7,0,2
38,9rhjt8bsPaM,Introduction | C++ for Beginners | Bangla Tutorial | Part-1,2020-06-03,1299,48,0,13
39,ErDeTl-DM0s,Introduction | Python for Beginners | Bangla Tutorial | #1,2020-06-03,436,26,0,8
